created_at,name,username,description,id,location,followers_count,following_count,listed_count,tweet_count
2020-01-06T20:00:33.000Z,gigi de sofie ♡,yoongisgrlx,- jisoo’s 여자 친구,1214275543010406400,She/they,121,481,1,6918
2021-01-26T20:39:16.000Z,LISA_babe,Laura22050742,i stan Lisa 🖤💕,1354166921776619521,,4,41,0,849
2022-01-15T18:32:23.000Z,fae,rkxbtss,selling/trading account   ALL INFO IS ON OUR INSTAGRAM PAGE @rkxbts,1482420372649746437,,1,5,0,12
2021-05-06T22:16:17.000Z,Sarah,lounisarahh,❤استغفر الله العظيم❤,1390430086839652352,"İstanbul, Türkiye",8,102,0,18
2021-09-14T13:38:56.000Z,smiley,smiley_lily95,Weirdo🤗😬🤥,1437772762089758725,,2,11,0,311
2020-07-27T09:56:49.000Z,iirwya,iirwya17,,1287688251797581824,,3,13,0,49
2022-01-04T07:41:29.000Z,Mik`,yoojixmin_,Love ; #ENHYPEN   —tinatangi {always and forever} ❣❣,1478270293609435138,she|her       STRICT PARENTS. ,948,2711,0,1199
2021-10-31T06:33:13.000Z,Kalyani Praveen,KalyaniPraveen4,"🖤𝑺𝒂𝒏𝒕𝒉𝒊𝒏𝒊𝒌𝒆𝒕𝒂𝒏𝒂𝒎 𝑪𝒆𝒏𝒕𝒓𝒂𝒍 𝑺𝒄𝒉𝒐𝒐𝒍🖤
🌍k༙e༙r༙a༙l༙a༙
𝗪𝗶𝘀𝗵 𝗺𝗲 𝗼𝗻 25𝘁𝗵 𝗠𝗮𝘆🎂
𝘽𝙇𝘼𝘾𝙆𝙋𝙄𝙉𝙆👩𝔹𝕝𝕚𝕟𝕜💖
𝘣𝘵𝘴𝘫𝘶𝘯𝘨",1454697787333885955,"Kollam, India",1,32,0,3
2021-03-19T09:47:49.000Z,LEFT 🐼,iloveleft,"Crypto Artist / Art Director / GA+Ai #Artist / #NFT  
⭐️https://t.co/NOzXdBe3SW
⭐️https://t.co/2Iii53dxGi
⭐️https://t.co/T3rwlqWNt1
⭐️https://t.co/ttK5v0JQVR",1372847210149253127,Metaverse,129,228,6,140
2021-12-11T18:53:36.000Z,✨jude✨,judejuddyjude,"Blink
Carat
L-1485",1469742102984622082,"Bacolod City, Western Visayas",0,92,0,2
2022-01-10T21:04:22.000Z,yurnero,_jposie,JENCHULICHAENG 💓,1480646698053812224,he/him,0,35,0,59
2011-02-10T08:47:06.000Z,RecordsFairy Jennie,jenndeukim_,🍏it will still be green even if you wash it,250038713,United Kingdom,52,39,0,5975
2021-10-12T21:19:31.000Z,DB,lmcarts_,BNS account for @manwonban. Blackpink. Infinite. Pristin,1448035545079173123,PH,16,66,0,70
2020-04-23T22:08:38.000Z,네스🐋🖤💜,justkey97,I Love Jungkook and also Love the other 6 member each and everyday🐰🖤💜 I Love Bangtan always!!! 2nd Acc. 1st Acc @Agnesdwics,1253445633559547905,Indonesia,18,171,0,4050
2021-11-27T20:42:44.000Z,Joy Powers,JoyPowe92627442,,1464696123445100545,,0,2,0,10
2021-11-22T04:44:08.000Z,🗡𝐽𝑎𝑒🗡,sapphipoet,"Sapphic, poc, and non-binary. Pls dni nsfw accounts and mspec lesbians. #cartoontwt 
ʕ•ᴥ•ʔ",1462642935447519238,Any pronouns  👩🏽‍❤️‍👩🏾,189,390,2,759
2019-03-12T00:06:49.000Z,',daily_jisoos,Blackpink Kim Jisoo and Seventeen Joshua Hong   (Not a ship account),1105258808698232832,,59,2,0,207
2021-06-10T09:44:30.000Z,BRIE,breathe4Lisa,"I stan girlies with bangs, yep that's Taylor and Lisa",1402924501311000580,🤙,59,247,0,2629
2021-01-06T05:58:44.000Z,PasabuysPH | Back In Business,PasabuysPH,EST. 01062021 | Bringing you the cheapest KPop merchandise & albums!,1346697628550004736,🇵🇭 ,962,11,1,1065
2020-11-29T13:02:18.000Z,🌸,Miikarah,🌼💌,1333033171646988288,,9,36,0,2261
2020-04-16T03:19:54.000Z,Hycinth Mae Ebrada,Ebrada_Hycinth,Ig: hycinthmaeebrada,1250624881701486594,,15,78,0,752
2022-01-06T05:19:12.000Z,MARIA OSEJO,MARIAOSEJO4,,1478959234452701189,,0,8,0,1
2021-09-25T11:21:43.000Z,ケンチャナヨ（大丈夫）,kenchanhayo,"K-POP時々J-POP,US",1441724554305363972,,6,58,0,223
2013-11-20T04:50:31.000Z,Vibhav Golia,vibhavgolia,work in process,2188367381,,599,526,5,986
2021-09-29T13:11:01.000Z,Danna Aramburu,blink_JRJL,blink,1443201528316059652,,2,31,0,15
2020-10-26T15:00:58.000Z,Dory Haiz,DoryHaiz,my favorite 👇👇👇 NEW song,1320742059532275712,,262,2315,3,311
2011-11-09T19:57:43.000Z,Bambi Belle of the Ball Doll,Cammaccc,Southern Nights Orlando 🌈 Natalie E. Devine 👑 Instagram: glammcamminstaagram_,408713368,"Orlando, Fl",2177,676,3,15577
2020-08-21T04:56:46.000Z,𝐍𝐚𝐦𝐦𝐲__,nmjz_namxmy,𝑁𝑎𝑡𝑡ℎ𝑎𝑚𝑜𝑛 𝐽𝑜𝑛𝑔𝑝𝑟𝑜𝑛𝑔𝑘𝑙𝑎𝑛𝑔♕,1296672468103356418,,5,115,0,4763
2021-11-12T14:36:58.000Z,pinknut 🕊,blackpinknut,"just doing stuff for Blackpink; mostly jisoo. 🤍 fragile, i cant handle negativity towards my love, please leave it outside the room bfr interacting with me.",1459168311220977668,,41,78,0,772
2020-07-16T08:49:45.000Z,Mark Shon,MarkShon4,student and artist / 👇👇love this song,1283685112631132161,California,340,1993,0,612
2019-01-23T09:57:36.000Z,PP_dlove,DlovePp,,1088012868589477888,,9,103,0,2022
2016-07-28T12:48:01.000Z,carla,LILIinyourarea,lol you’re not lalisa manoban :),758645184770871296,,904,268,0,76976
2021-06-13T15:14:37.000Z,🐎🤠👨‍🎤,centricjk,clout chasing lang,1404094520187179009,,3,10,0,29
