tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls,screen_name
1759074255663145414,@CuffsTheLegend Almost! 👀,en,Reply,65,3102,57,264,637365.0,2024-02-17 23:35:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,KingJames
1758516669041811560,"I am so blessed to have such an incredible team @makespringhill.  We founded this company because we wanted to empower not just athletes, but our community.  When I look around, I see nothing but more opportunities to continue empowering.  My deepest gratitude and love to all of you.  You know who you are.",en,Tweet,16,1085,100,251,817801.0,2024-02-16 10:40:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,KingJames
1758504358390427794,"@OHSAASports Cool cool cool but when will the Board of Directors approved a shot clock for Boys &amp; Girls basketball??? We have to grow our kids motors, minds and style of play.",en,Reply,107,7662,389,144,1923383.0,2024-02-16 09:51:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,KingJames
1758360059208143056,YEEEEAAAAAHHHH NIECE!!!!!! 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾🙌🏾🙌🏾🙌🏾🤎🤎🤎🤎🤎,en,Tweet,17,3733,150,142,1139430.0,2024-02-16 00:18:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,KingJames
1757980004833521811,Lil bro going CRAZY tonight!!!!! YEEEAAAHHHH RUUUUUU🗣️🗣️🗣️🗣️,en,Tweet,593,65517,5641,604,4392556.0,2024-02-14 23:07:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,KingJames
1757974994032754806,12 mins left! LETS GOOOOOO,en,Tweet,120,22445,982,482,2173708.0,2024-02-14 22:47:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,KingJames
1757973545966047299,@Rjeff24 @RealAClifton 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾!!!! Super happy and proud @RealAClifton. So 🔥🔥🔥🔥🔥🔥,en,Reply,36,3729,145,58,394316.0,2024-02-14 22:42:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,KingJames
1757876450466693534,I keep telling ya'll what we're doing at House Three Thirty in Akron is SPECIAL!! @LJFamFoundation 🤎🤎 HUGE s/o to @GraduateHotels for always understanding the vision and being part of the journey. 🫡🙏🏾👑 https://t.co/JSRbdEusTe,en,Tweet,34,1614,147,146,510682.0,2024-02-14 16:16:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1757750347156553728/vid/avc1/1280x720/Ic1Uyej6GzKjllvh.mp4?tag=14,KingJames
1757849349697003829,🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾,art,Tweet,49,7380,304,309,1264798.0,2024-02-14 14:28:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,KingJames
1758638504354161001,"When Francesca Cabrini sets foot in New York in 1889, she is greeted by disease, crime, and impoverished children living in slums. With a fearless spirit and compassionate heart, Cabrini sets off to convince the mayor to secure housing and healthcare for our most vulnerable.",en,Retweet,98,1008,191,52,3673.0,2024-02-16 18:44:28,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,KingJames
