name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
Donald Trump Jr.,DonaldJTrumpJr,'39344374',false,2009-05-11 17:18:33,,48392,11146817,1975,33826,"Florida, USA",2837,https://pbs.twimg.com/profile_banners/39344374/1674355501,https://www.twitter.com/DonaldJTrumpJr,https://pbs.twimg.com/profile_images/766652495858896897/LjrJJB9a_normal.jpg,false,true
Rep. Jim Jordan,Jim_Jordan,'18166778',false,2008-12-16 12:20:24,"Proudly serving Ohio's beautiful Fourth District. Chairman @JudiciaryGOP, @Weaponization. Fighting to #DoWhatWeSaid",13467,4996484,3714,5344,"Washington, D.C. ",1653,https://pbs.twimg.com/profile_banners/18166778/1406042839,https://www.twitter.com/Jim_Jordan,https://pbs.twimg.com/profile_images/596012379231617025/TtrAXbnA_normal.jpg,false,true
Diamond and Silk®,DiamondandSilk,'2908170952',true,2014-12-06 13:49:06,"""OFFICIAL ACCOUNT""
President Donald J Trump's Most Loyal Supporters, Diamond & Silk Chit Chat, Lindell TV, FrankSocial, https://t.co/hQV45FS77w, Authors UPRISING #Sponsor",26553,2138374,99,6134,United States,6124,https://pbs.twimg.com/profile_banners/2908170952/1667767654,https://www.twitter.com/DiamondandSilk,https://pbs.twimg.com/profile_images/1257866413571813377/amVKEtcq_normal.jpg,false,true
Sean Hannity 🇺🇸,seanhannity,'41634520',false,2009-05-21 13:41:12,"TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/0WmPPuxbkF Retweets, Follows NOT endorsements! Due to hackings, no DM’s!",28577,6533533,12,92,"New York, USA",1233,https://pbs.twimg.com/profile_banners/41634520/1697638342,https://www.twitter.com/seanhannity,https://pbs.twimg.com/profile_images/1402771730582622212/gwApDT26_normal.jpg,false,true
Ivanka Trump,IvankaTrump,'52544275',false,2009-06-30 18:32:03,,18236,10447681,1587,3927,,4591,https://pbs.twimg.com/profile_banners/52544275/1482433261,https://www.twitter.com/IvankaTrump,https://pbs.twimg.com/profile_images/1054179226100908032/i5ZXfFdE_normal.jpg,false,true
Tucker Carlson,TuckerCarlson,'22703645',true,2009-03-03 19:03:12,,4893,12748510,1,190,,1010,https://pbs.twimg.com/profile_banners/22703645/1686260583,https://www.twitter.com/TuckerCarlson,https://pbs.twimg.com/profile_images/1666923736132460544/9LWCHVOp_normal.jpg,false,true
Laura Ingraham,IngrahamAngle,'50769180',false,2009-06-25 17:03:25,"Mom, author, host, The Ingraham Angle, 7p ET @FoxNews. Retweets do not = Endorsements",55459,4742858,470,5561,DC,5948,https://pbs.twimg.com/profile_banners/50769180/1690194186,https://www.twitter.com/IngrahamAngle,https://pbs.twimg.com/profile_images/1683422498111516672/ySprtoxx_normal.jpg,false,true
Jeanine Pirro,JudgeJeanine,'29458079',false,2009-04-07 10:27:06,"Judge Pirro is a former highly respected District Attorney, Judge, author & renowned champion of the underdog. She Co-hosts the #1 Fox News Show “The Five”",20136,3441392,510,534,"New York, NY",5660,https://pbs.twimg.com/profile_banners/29458079/1684511671,https://www.twitter.com/JudgeJeanine,https://pbs.twimg.com/profile_images/850023968484368386/jBcIv7W1_normal.jpg,false,true
Kimberly Guilfoyle,kimguilfoyle,'25101996',false,2009-03-18 12:33:40,"Mother, Sister, Proud American Latina Patriot, MAGA, Host of The Kimberly Guilfoyle Show on Rumble 🇺🇸",11985,2151638,3599,15176,"Florida, USA",1148,https://pbs.twimg.com/profile_banners/25101996/1698088452,https://www.twitter.com/kimguilfoyle,https://pbs.twimg.com/profile_images/1276508455042527232/qBl4p7P1_normal.jpg,false,true
Eric Trump,EricTrump,'39349894',true,2009-05-11 17:42:30,Executive Vice President of The @Trump Organization. Husband to @LaraLeaTrump. Large advocate of @StJude Children's Hospital @TrumpWinery #MakeAmericaGreatAgain,7516,4399593,1100,13872,"Florida, USA",1840,https://pbs.twimg.com/profile_banners/39349894/1516709628,https://www.twitter.com/EricTrump,https://pbs.twimg.com/profile_images/1648453285890916355/rqqWLR8O_normal.jpg,false,true
